date,Novartis news
2020-01-01,16
2020-02-01,13
2020-03-01,23
2020-04-01,25
2020-05-01,17
2020-06-01,13
2020-07-01,15
2020-08-01,12
2020-09-01,11
2020-10-01,11
2020-11-01,10
2020-12-01,11
2021-01-01,16
2021-02-01,12
2021-03-01,13
2021-04-01,11
2021-05-01,8
2021-06-01,12
2021-07-01,10
2021-08-01,7
2021-09-01,10
2021-10-01,9
2021-11-01,13
2021-12-01,13
2022-01-01,10
2022-02-01,16
2022-03-01,13
2022-04-01,17
2022-05-01,12
2022-06-01,13
2022-07-01,11
2022-08-01,13
2022-09-01,10
2022-10-01,10
2022-11-01,8
2022-12-01,7
2023-01-01,9
2023-02-01,10
2023-03-01,11
2023-04-01,9
2023-05-01,6
2023-06-01,7
2023-07-01,11
2023-08-01,8
2023-09-01,10
2023-10-01,10
2023-11-01,6
2023-12-01,6
2024-01-01,10
2024-02-01,14
2024-03-01,9
2024-04-01,10
2024-05-01,7
2024-06-01,7
2024-07-01,7
2024-08-01,6
2024-09-01,7
2024-10-01,10
2024-11-01,8
2024-12-01,8
2025-01-01,8
2025-02-01,10
2025-03-01,8
2025-04-01,11
2025-05-01,8
2025-06-01,8
2025-07-01,18
2025-08-01,100
