date,Joe Rogan
2020-01-01,40
2020-02-01,33
2020-03-01,34
2020-04-01,30
2020-05-01,46
2020-06-01,40
2020-07-01,38
2020-08-01,39
2020-09-01,51
2020-10-01,35
2020-11-01,33
2020-12-01,26
2021-01-01,27
2021-02-01,23
2021-03-01,22
2021-04-01,26
2021-05-01,24
2021-06-01,25
2021-07-01,26
2021-08-01,27
2021-09-01,45
2021-10-01,31
2021-11-01,27
2021-12-01,30
2022-01-01,85
2022-02-01,100
2022-03-01,24
2022-04-01,24
2022-05-01,21
2022-06-01,20
2022-07-01,24
2022-08-01,24
2022-09-01,23
2022-10-01,22
2022-11-01,23
2022-12-01,25
2023-01-01,29
2023-02-01,30
2023-03-01,29
2023-04-01,27
2023-05-01,23
2023-06-01,28
2023-07-01,24
2023-08-01,26
2023-09-01,22
2023-10-01,20
2023-11-01,23
2023-12-01,20
2024-01-01,22
2024-02-01,24
2024-03-01,26
2024-04-01,21
2024-05-01,19
2024-06-01,20
2024-07-01,21
2024-08-01,33
2024-09-01,18
2024-10-01,61
2024-11-01,61
2024-12-01,25
2025-01-01,31
2025-02-01,24
2025-03-01,26
2025-04-01,23
2025-05-01,19
2025-06-01,25
2025-07-01,24
2025-08-01,23
