date,Iraq
2020-01-01,100
2020-02-01,23
2020-03-01,28
2020-04-01,23
2020-05-01,23
2020-06-01,21
2020-07-01,21
2020-08-01,21
2020-09-01,21
2020-10-01,20
2020-11-01,20
2020-12-01,19
2021-01-01,23
2021-02-01,23
2021-03-01,26
2021-04-01,21
2021-05-01,25
2021-06-01,23
2021-07-01,21
2021-08-01,26
2021-09-01,24
2021-10-01,22
2021-11-01,21
2021-12-01,20
2022-01-01,23
2022-02-01,29
2022-03-01,42
2022-04-01,26
2022-05-01,27
2022-06-01,25
2022-07-01,23
2022-08-01,26
2022-09-01,25
2022-10-01,24
2022-11-01,29
2022-12-01,23
2023-01-01,32
2023-02-01,25
2023-03-01,30
2023-04-01,24
2023-05-01,26
2023-06-01,25
2023-07-01,24
2023-08-01,24
2023-09-01,30
2023-10-01,39
2023-11-01,37
2023-12-01,25
2024-01-01,52
2024-02-01,27
2024-03-01,25
2024-04-01,40
2024-05-01,35
2024-06-01,37
2024-07-01,30
2024-08-01,31
2024-09-01,28
2024-10-01,31
2024-11-01,32
2024-12-01,30
2025-01-01,25
2025-02-01,24
2025-03-01,28
2025-04-01,25
2025-05-01,26
2025-06-01,54
2025-07-01,39
2025-08-01,57
