date,Netflix earnings report
2020-08-02,8
2020-08-09,0
2020-08-16,0
2020-08-23,8
2020-08-30,5
2020-09-06,9
2020-09-13,6
2020-09-20,5
2020-09-27,0
2020-10-04,0
2020-10-11,9
2020-10-18,33
2020-10-25,7
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,26
2021-01-24,6
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,6
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,18
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,16
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,20
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,41
2022-01-23,12
2022-01-30,11
2022-02-06,0
2022-02-13,7
2022-02-20,0
2022-02-27,12
2022-03-06,7
2022-03-13,10
2022-03-20,7
2022-03-27,8
2022-04-03,7
2022-04-10,14
2022-04-17,71
2022-04-24,22
2022-05-01,15
2022-05-08,11
2022-05-15,10
2022-05-22,9
2022-05-29,12
2022-06-05,17
2022-06-12,11
2022-06-19,15
2022-06-26,15
2022-07-03,15
2022-07-10,20
2022-07-17,89
2022-07-24,17
2022-07-31,8
2022-08-07,16
2022-08-14,17
2022-08-21,11
2022-08-28,6
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,33
2022-10-23,0
2022-10-30,0
2022-11-06,5
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,34
2023-01-22,7
2023-01-29,5
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,23
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,9
2023-07-16,44
2023-07-23,5
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,6
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,6
2023-10-15,13
2023-10-22,6
2023-10-29,0
2023-11-05,5
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,6
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,6
2024-01-21,36
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,8
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,28
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,17
2024-07-21,0
2024-07-28,0
2024-08-04,7
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,27
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,8
2024-11-17,7
2024-11-24,0
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,24
2025-01-26,7
2025-02-02,18
2025-02-09,9
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,17
2025-04-20,12
2025-04-27,8
2025-05-04,6
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,0
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,17
2025-07-13,61
2025-07-20,64
2025-07-27,100
