date,Benjamin Netanyahu
2020-01-01,12
2020-02-01,6
2020-03-01,12
2020-04-01,9
2020-05-01,8
2020-06-01,5
2020-07-01,6
2020-08-01,7
2020-09-01,7
2020-10-01,4
2020-11-01,7
2020-12-01,6
2021-01-01,5
2021-02-01,5
2021-03-01,7
2021-04-01,6
2021-05-01,55
2021-06-01,64
2021-07-01,5
2021-08-01,5
2021-09-01,3
2021-10-01,3
2021-11-01,3
2021-12-01,3
2022-01-01,3
2022-02-01,3
2022-03-01,4
2022-04-01,2
2022-05-01,2
2022-06-01,3
2022-07-01,3
2022-08-01,3
2022-09-01,3
2022-10-01,7
2022-11-01,21
2022-12-01,12
2023-01-01,9
2023-02-01,6
2023-03-01,20
2023-04-01,7
2023-05-01,3
2023-06-01,3
2023-07-01,20
2023-08-01,4
2023-09-01,6
2023-10-01,100
2023-11-01,52
2023-12-01,27
2024-01-01,50
2024-02-01,19
2024-03-01,44
2024-04-01,53
2024-05-01,54
2024-06-01,33
2024-07-01,59
2024-08-01,19
2024-09-01,40
2024-10-01,52
2024-11-01,64
2024-12-01,22
2025-01-01,17
2025-02-01,20
2025-03-01,14
2025-04-01,16
2025-05-01,17
2025-06-01,80
2025-07-01,38
2025-08-01,46
