date,Dell news
2020-08-02,19
2020-08-09,18
2020-08-16,18
2020-08-23,18
2020-08-30,18
2020-09-06,16
2020-09-13,20
2020-09-20,16
2020-09-27,16
2020-10-04,17
2020-10-11,16
2020-10-18,15
2020-10-25,15
2020-11-01,21
2020-11-08,17
2020-11-15,16
2020-11-22,18
2020-11-29,15
2020-12-06,15
2020-12-13,12
2020-12-20,14
2020-12-27,13
2021-01-03,17
2021-01-10,16
2021-01-17,18
2021-01-24,14
2021-01-31,15
2021-02-07,13
2021-02-14,12
2021-02-21,13
2021-02-28,13
2021-03-07,11
2021-03-14,11
2021-03-21,18
2021-03-28,15
2021-04-04,12
2021-04-11,16
2021-04-18,13
2021-04-25,13
2021-05-02,14
2021-05-09,14
2021-05-16,12
2021-05-23,14
2021-05-30,13
2021-06-06,13
2021-06-13,15
2021-06-20,13
2021-06-27,14
2021-07-04,14
2021-07-11,13
2021-07-18,13
2021-07-25,13
2021-08-01,13
2021-08-08,14
2021-08-15,13
2021-08-22,22
2021-08-29,14
2021-09-05,13
2021-09-12,12
2021-09-19,13
2021-09-26,11
2021-10-03,12
2021-10-10,11
2021-10-17,12
2021-10-24,12
2021-10-31,17
2021-11-07,14
2021-11-14,12
2021-11-21,14
2021-11-28,12
2021-12-05,10
2021-12-12,12
2021-12-19,11
2021-12-26,12
2022-01-02,17
2022-01-09,14
2022-01-16,13
2022-01-23,14
2022-01-30,16
2022-02-06,14
2022-02-13,14
2022-02-20,20
2022-02-27,19
2022-03-06,16
2022-03-13,16
2022-03-20,20
2022-03-27,18
2022-04-03,15
2022-04-10,16
2022-04-17,15
2022-04-24,15
2022-05-01,14
2022-05-08,13
2022-05-15,13
2022-05-22,16
2022-05-29,15
2022-06-05,17
2022-06-12,18
2022-06-19,19
2022-06-26,18
2022-07-03,17
2022-07-10,19
2022-07-17,17
2022-07-24,17
2022-07-31,15
2022-08-07,16
2022-08-14,17
2022-08-21,15
2022-08-28,13
2022-09-04,13
2022-09-11,11
2022-09-18,11
2022-09-25,11
2022-10-02,10
2022-10-09,12
2022-10-16,11
2022-10-23,9
2022-10-30,11
2022-11-06,11
2022-11-13,11
2022-11-20,11
2022-11-27,12
2022-12-04,10
2022-12-11,9
2022-12-18,12
2022-12-25,11
2023-01-01,12
2023-01-08,10
2023-01-15,11
2023-01-22,11
2023-01-29,11
2023-02-05,18
2023-02-12,11
2023-02-19,10
2023-02-26,12
2023-03-05,10
2023-03-12,10
2023-03-19,18
2023-03-26,15
2023-04-02,9
2023-04-09,9
2023-04-16,10
2023-04-23,8
2023-04-30,9
2023-05-07,9
2023-05-14,10
2023-05-21,10
2023-05-28,9
2023-06-04,11
2023-06-11,10
2023-06-18,10
2023-06-25,9
2023-07-02,11
2023-07-09,11
2023-07-16,11
2023-07-23,11
2023-07-30,11
2023-08-06,14
2023-08-13,13
2023-08-20,11
2023-08-27,12
2023-09-03,10
2023-09-10,10
2023-09-17,11
2023-09-24,11
2023-10-01,10
2023-10-08,13
2023-10-15,13
2023-10-22,9
2023-10-29,11
2023-11-05,11
2023-11-12,10
2023-11-19,11
2023-11-26,11
2023-12-03,13
2023-12-10,9
2023-12-17,8
2023-12-24,9
2023-12-31,9
2024-01-07,11
2024-01-14,10
2024-01-21,11
2024-01-28,11
2024-02-04,12
2024-02-11,10
2024-02-18,10
2024-02-25,15
2024-03-03,11
2024-03-10,11
2024-03-17,11
2024-03-24,11
2024-03-31,11
2024-04-07,10
2024-04-14,10
2024-04-21,9
2024-04-28,14
2024-05-05,11
2024-05-12,11
2024-05-19,12
2024-05-26,18
2024-06-02,15
2024-06-09,12
2024-06-16,14
2024-06-23,11
2024-06-30,10
2024-07-07,11
2024-07-14,12
2024-07-21,12
2024-07-28,12
2024-08-04,22
2024-08-11,13
2024-08-18,12
2024-08-25,16
2024-09-01,13
2024-09-08,12
2024-09-15,11
2024-09-22,12
2024-09-29,12
2024-10-06,13
2024-10-13,9
2024-10-20,12
2024-10-27,11
2024-11-03,14
2024-11-10,13
2024-11-17,12
2024-11-24,15
2024-12-01,12
2024-12-08,12
2024-12-15,14
2024-12-22,18
2024-12-29,10
2025-01-05,14
2025-01-12,12
2025-01-19,12
2025-01-26,14
2025-02-02,13
2025-02-09,11
2025-02-16,12
2025-02-23,14
2025-03-02,12
2025-03-09,11
2025-03-16,11
2025-03-23,10
2025-03-30,13
2025-04-06,12
2025-04-13,9
2025-04-20,11
2025-04-27,13
2025-05-04,14
2025-05-11,11
2025-05-18,9
2025-05-25,12
2025-06-01,14
2025-06-08,19
2025-06-15,18
2025-06-22,20
2025-06-29,18
2025-07-06,17
2025-07-13,31
2025-07-20,50
2025-07-27,100
