date,dairy-free
2020-01-01,22
2020-02-01,22
2020-03-01,22
2020-04-01,37
2020-05-01,37
2020-06-01,37
2020-07-01,40
2020-08-01,38
2020-09-01,38
2020-10-01,37
2020-11-01,39
2020-12-01,44
2021-01-01,38
2021-02-01,38
2021-03-01,39
2021-04-01,41
2021-05-01,39
2021-06-01,42
2021-07-01,42
2021-08-01,42
2021-09-01,42
2021-10-01,47
2021-11-01,54
2021-12-01,53
2022-01-01,59
2022-02-01,55
2022-03-01,59
2022-04-01,68
2022-05-01,62
2022-06-01,62
2022-07-01,68
2022-08-01,63
2022-09-01,54
2022-10-01,56
2022-11-01,53
2022-12-01,55
2023-01-01,47
2023-02-01,47
2023-03-01,46
2023-04-01,48
2023-05-01,47
2023-06-01,51
2023-07-01,45
2023-08-01,48
2023-09-01,52
2023-10-01,51
2023-11-01,52
2023-12-01,62
2024-01-01,53
2024-02-01,56
2024-03-01,57
2024-04-01,56
2024-05-01,49
2024-06-01,52
2024-07-01,61
2024-08-01,63
2024-09-01,61
2024-10-01,61
2024-11-01,70
2024-12-01,67
2025-01-01,67
2025-02-01,70
2025-03-01,66
2025-04-01,69
2025-05-01,69
2025-06-01,89
2025-07-01,88
2025-08-01,100
